ORF	NAME error	K	Pho2	Pho4	Co	Pho2B	Pho4B	CoB	p.error	p.K	p.Pho2	p.Pho4	p.Co	p.Pho2B	p.Pho4B	p.CoB
YAL005C	SSA1	0.2	0.7	0.2	0.0	0.4	-0.3	0.1	0.1	1.0E+00	4.4E-02	9.8E-01	1.0E+00	7.7E-01	1.0E+00	1.0E+00	1.0E+00
YAR068W	YAR068W	-0.3	0.5	0.1	-0.2	0.6	0.0	0.3	-0.3	1.0E+00	5.7E-01	1.0E+00	1.0E+00	1.4E-01	1.0E+00	9.8E-01	1.0E+00
YAR070C	YAR070C	0.2	-0.1	0.1	0.0	1.4	0.0	0.1	0.0	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.3E-06	1.0E+00	1.0E+00	1.0E+00
YAR071W	PHO11	-0.3	-0.3	0.1	0.1	5.4	0.2	0.1	0.1	1.0E+00	1.0E+00	9.8E-01	9.9E-01	0.0E+00	9.8E-01	9.9E-01	9.6E-01
YBR072W	HSP26	0.0	2.1	0.6	0.1	-0.9	0.0	0.2	0.0	1.0E+00	4.8E-11	2.1E-01	9.5E-01	1.0E+00	1.0E+00	9.5E-01	9.9E-01
YBR093C	PHO5	-0.1	0.1	0.0	0.2	6.4	0.0	0.2	0.1	1.0E+00	9.9E-01	9.9E-01	9.6E-01	0.0E+00	1.0E+00	9.6E-01	9.6E-01
YBR157C	ICS2	-0.1	1.0	0.1	0.0	0.4	0.2	0.1	-0.1	1.0E+00	3.1E-07	1.0E+00	1.0E+00	7.3E-01	1.0E+00	1.0E+00	1.0E+00
YBR169C	SSE2	0.1	0.9	0.2	0.1	-0.4	-0.3	0.0	0.3	1.0E+00	7.1E-08	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	9.9E-01
YBR296C	PHO89	-0.1	0.4	-0.1	0.1	5.1	0.1	0.2	0.0	1.0E+00	7.6E-01	1.0E+00	9.9E-01	0.0E+00	9.9E-01	9.9E-01	9.9E-01
YCL040W	GLK1	0.0	0.7	0.4	0.2	-0.3	-0.2	0.0	0.1	1.0E+00	6.8E-03	9.3E-01	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YCR098C	GIT1	-0.2	0.3	0.0	0.2	3.9	0.1	0.2	-0.1	1.0E+00	8.4E-01	9.9E-01	9.7E-01	1.1E-16	9.8E-01	9.7E-01	1.0E+00
YDL204W	YDL204W	0.1	1.6	0.2	-0.2	-0.5	0.0	0.4	-0.1	1.0E+00	6.7E-16	1.0E+00	1.0E+00	1.0E+00	1.0E+00	9.3E-01	1.0E+00
YDR005C	MAF1	-0.2	0.4	0.1	0.0	0.7	0.1	0.2	-0.1	1.0E+00	8.0E-01	1.0E+00	1.0E+00	8.8E-02	1.0E+00	1.0E+00	1.0E+00
YDR019C	GCV1	0.1	1.5	-0.1	-0.2	0.0	0.3	0.2	-0.1	1.0E+00	0.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YDR039C	ENA2	-0.1	0.2	-0.1	0.1	1.3	0.3	0.0	-0.2	1.0E+00	1.0E+00	1.0E+00	1.0E+00	4.6E-10	9.9E-01	1.0E+00	1.0E+00
YDR040C	ENA1	0.0	0.2	-0.2	0.1	1.1	0.4	0.1	-0.4	1.0E+00	1.0E+00	1.0E+00	1.0E+00	4.3E-12	1.0E+00	1.0E+00	1.0E+00
YDR270W	CCC2	0.0	1.1	-0.1	0.1	-0.2	0.0	-0.2	0.1	1.0E+00	0.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YDR281C	PHM6	-0.3	0.2	0.2	0.3	4.1	0.0	0.0	0.1	1.0E+00	1.0E+00	9.9E-01	9.7E-01	0.0E+00	1.0E+00	1.0E+00	1.0E+00
YDR481C	PHO8	0.1	0.2	0.1	1.0	0.4	0.1	0.0	0.1	1.0E+00	1.0E+00	1.0E+00	4.7E-11	9.1E-01	1.0E+00	1.0E+00	1.0E+00
YDR516C	EMI2	0.0	1.0	0.3	0.0	-0.4	-0.2	0.0	0.2	1.0E+00	1.9E-07	9.5E-01	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YEL011W	GLC3	0.0	1.0	0.4	0.0	-0.3	-0.2	0.2	0.0	1.0E+00	1.0E-08	9.2E-01	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YEL065W	SIT1	0.1	2.1	-0.3	0.1	-0.1	0.2	-0.2	-0.1	1.0E+00	0.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
