"","N1","N2","O1","O2","P1","P2","Q1","Q2","R1","W1","W2","W3","W4"
"CAGL0E06138g",22090,25797,39618,20616,23480,18649,31252,11177,34175,14975,15971,2723,3256
"CAGL0E03223g",962,573,1391,1069,1170,1027,889,868,1063,495,646,134,111
"CAGL0E03498g",52,58,42,29,43,52,44,31,24,23,22,339,300
"CAGL0E01155g",149,80,256,325,179,311,131,187,108,256,309,90,77
"CAGL0E06556g",731,565,937,547,830,689,639,381,760,364,365,257,185
"CAGL0E02695g",669,583,556,375,666,522,601,308,509,185,230,926,864
"CAGL0E03850g",2667,1725,1200,1076,7410,7124,2209,1527,1533,2198,2639,1056,970
"CAGL0E06644g",14,11,25,14,2685,2198,32,44,912,917,1043,62,59
"CAGL0E00297r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0E00627g",414,412,482,371,435,440,423,282,388,88,108,190,163
"CAGL0E01551g",510,429,536,471,470,625,543,419,373,379,419,429,478
"CAGL0E05170g",845,1394,767,490,788,629,963,527,399,232,258,2157,1935
"CAGL0E02255g",9104,4982,16150,11656,10838,11499,8774,6639,15308,6368,7607,1823,1751
"CAGL0E00957g",1124,1200,1137,790,1105,1031,1370,738,1020,483,514,1107,1012
"CAGL0E03091r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0E02497g",496,553,568,451,560,562,652,409,462,284,310,386,353
"CAGL0E02717g",812,646,986,811,882,837,798,548,796,532,601,150,138
"CAGL0E04598g",1163,1170,1321,1362,1215,1539,1325,1037,1042,568,587,1390,1289
"CAGL0E06512g",1599,1813,1415,863,1612,1415,1886,1056,1082,609,616,3742,3831
"CAGL0E02651g",104,112,46,38,92,103,96,37,34,43,28,1096,1093
"CAGL0E05192g",178,219,186,161,181,212,228,143,109,131,144,744,682
"CAGL0E06116g",390,280,348,250,242,245,315,190,234,81,82,553,499
"CAGL0E04158g",165,162,254,275,295,333,263,183,335,203,266,72,70
"CAGL0E01287g",4754,4588,4539,3074,3390,3555,4449,3242,2800,2426,2731,7511,7480
"CAGL0E05236g",111,95,128,126,120,105,117,77,85,86,99,153,136
"CAGL0E02805g",759,760,846,518,766,610,939,460,765,242,305,413,358
"CAGL0E05060g",1243,1146,1630,1111,1366,1236,1561,963,1369,539,608,633,565
"CAGL0G09933g",243,157,297,165,254,198,258,125,234,108,99,59,50
"CAGL0G06600g",911,864,899,726,635,706,879,718,630,517,607,1652,1639
"CAGL0G09493g",1031,856,1015,692,1086,943,1089,652,844,324,306,419,400
"CAGL0G01276g",766,480,1094,856,816,831,650,658,815,659,698,207,199
"CAGL0G02365g",444,475,386,253,433,403,492,267,299,137,155,612,577
"CAGL0G04389g",732,585,768,621,735,739,808,425,669,366,391,217,175
"CAGL0G00176g",2513,2558,2777,1980,2696,2525,2683,1436,2343,1317,1447,2203,1997
"CAGL0G04961g",529,433,513,260,544,278,571,216,369,124,153,116,110
"CAGL0G01188g",851,583,870,715,923,889,736,600,589,463,540,369,317
"CAGL0G05269g",201,90,8,6,611,771,9,10,0,4,17,4649,4932
"CAGL0G08954g",1126,1056,983,1013,1725,2072,1017,781,887,548,623,1017,937
"CAGL0G00968g",466,501,425,329,412,493,464,336,337,220,315,1078,936
"CAGL0G00286g",11340,8822,10900,9554,11776,12072,6942,5162,5399,4084,4580,5871,5406
"CAGL0G09713g",17314,12986,24274,13780,17950,14180,17622,9285,20830,8171,9584,838,981
"CAGL0G01991g",2406,1389,3682,2984,2726,2976,2052,2066,2665,1882,2187,357,263
"CAGL0G06864g",347,285,311,220,317,342,253,182,290,67,74,110,79
"CAGL0G07249g",1019,930,942,950,1000,1288,898,710,819,500,605,538,473
"CAGL0G04675g",1437,1281,1748,1241,1584,1792,1586,1263,1017,938,1066,1847,1724
"CAGL0G05005g",460,394,505,319,486,434,412,242,357,186,226,291,274
"CAGL0G08085g",1157,1024,1097,729,825,747,961,463,930,426,428,159,147
"CAGL0G05896g",3184,2563,3529,4000,3006,3901,3042,3039,2929,1822,2031,3474,3063
"CAGL0G10219g",36,39,60,59,41,89,46,71,26,49,49,30,31
"CAGL0G05874g",661,419,998,688,716,612,662,595,667,371,427,90,72
"CAGL0G01584g",1179,968,1231,938,1029,1061,1109,803,1096,549,656,571,551
"CAGL0G03003g",4334,3051,6211,4170,4878,4064,4000,2967,5541,2004,1973,141,121
"CAGL0G03135g",328,227,418,273,350,338,275,221,254,127,172,131,109
"CAGL0G08778g",813,535,1228,892,942,923,807,689,919,506,610,141,141
"CAGL0G08976r",0,0,0,0,0,2,0,0,0,0,1,0,0
"CAGL0G06402g",1346,1352,2039,1234,1657,1354,1645,919,2184,550,600,1544,1596
"CAGL0G06006g",299,231,155,156,434,528,244,184,58,76,107,1894,1781
"CAGL0G08690g",1282,1490,1184,874,1038,1043,1468,843,887,459,509,1331,1279
"CAGL0G07381g",779,667,883,654,718,745,784,629,805,416,447,409,385
"CAGL0G00352g",290,248,339,210,303,299,311,206,234,146,157,194,226
"CAGL0G00484g",1038,465,1601,1070,1311,950,888,727,1099,536,610,42,35
"CAGL0G06424g",608,827,902,545,646,732,708,295,554,543,632,570,841
"CAGL0G08173g",44008,32040,57917,41776,45565,44758,43037,26349,56013,27663,33547,2087,2121
"CAGL0G07645g",0,0,0,2,1,0,2,0,0,1,0,1,2
"CAGL0G02827g",1202,1102,1206,1128,1155,1416,1378,960,1146,601,655,1702,1678
"CAGL0G10131g",5498,4673,6767,3949,4558,3850,5292,3159,4751,1809,1891,3211,3004
"CAGL0G05984g",22,17,41,21,29,29,19,9,14,10,11,46,29
