"","A1","A2","B1","B2","C1","C2","D1","D2","E1","E2","F1","G1","H1","I1","J1","K1","L1","L2","M1","M2","V1","X1","X2","X3","X4","Y1","Y2"
"YAL069W",0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"YAL068W-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAL068C",15,24,15,22,49,32,12,42,22,37,17,23,13,8,16,11,10,15,8,46,3,26,29,18,33,26,11
"YAL067W-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAL067C",26,24,10,37,85,83,43,36,78,101,18,63,20,52,39,46,6,6,23,30,7,19,25,29,51,47,56
"YAL066W",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,2,0
"YAL065C",91,90,25,33,42,52,174,239,204,272,150,206,115,115,88,135,103,217,105,368,33,22,16,32,32,39,41
"YAL064W-B",6,9,6,10,13,17,7,18,16,18,16,18,13,13,14,18,8,2,10,2,1,1,2,2,3,0,3
"YAL064C-A",3,7,2,4,7,10,7,6,8,7,3,6,13,11,3,10,2,1,6,6,1,0,2,1,0,1,2
"YAL064W",6,1,2,3,14,15,5,17,6,6,2,3,4,3,4,10,2,4,2,5,0,2,5,2,3,7,4
"YAL063C-A",5,7,5,16,34,43,14,24,20,23,6,9,10,14,13,21,8,2,6,21,0,11,8,12,14,8,4
"YAL063C",292,323,106,188,235,217,632,789,715,930,644,784,501,434,394,624,526,445,492,868,163,91,103,119,139,153,130
"YAL062W",88,90,23,60,275,275,373,560,456,626,237,322,137,151,123,163,95,64,136,121,46,32,23,44,67,56,38
"YAL061W",97,104,74,220,581,565,1130,1533,882,1206,498,580,195,162,157,562,199,199,354,594,70,53,53,177,243,95,68
"YAL060W",2341,2930,1370,3284,3641,3558,5718,7941,7291,9181,6481,5609,4945,2245,3670,5598,3492,2122,3316,3605,565,709,574,1369,2007,1059,1074
"YAL059C-A",3,0,0,1,3,1,1,0,2,5,1,5,2,6,2,4,1,0,3,1,1,0,0,0,0,1,2
"YAL059W",520,701,366,539,935,654,571,763,582,747,611,682,1089,1636,615,942,527,371,490,804,765,454,407,268,388,402,362
"YAL058W",491,635,267,574,746,582,450,606,498,685,555,587,674,703,614,723,495,356,502,702,251,229,275,253,327,318,219
"YAL056C-A",0,1,0,1,3,0,1,2,1,3,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"YAL056W",1512,1904,838,1922,2379,2013,1995,2768,2389,3057,1892,1976,1589,1540,1949,2211,1690,1047,1454,2000,658,605,444,657,706,601,534
"YAL055W",233,265,177,324,396,317,433,617,486,606,509,513,352,316,350,485,338,426,321,788,125,183,154,228,277,200,153
"YAL054C",85,88,59,156,284,289,591,523,494,721,229,401,241,255,154,290,142,88,205,297,47,61,45,65,90,111,100
"YAL053W",3031,3455,1516,3987,5542,4716,3505,5334,4741,6419,3893,4225,4347,4173,3301,3915,2893,2061,3093,4393,1305,1841,1646,1785,2198,2184,1685
"YAL051W",722,844,467,944,1327,1007,910,1364,1104,1404,850,880,903,854,921,980,782,427,624,707,207,330,292,295,392,297,236
"YAL049C",913,1065,522,1226,1705,1516,1173,1767,1441,2074,1299,1492,1306,1303,1227,1614,982,761,991,1693,404,572,542,605,800,632,508
"YAL048C",350,485,215,456,612,516,366,574,464,585,406,474,498,535,522,555,412,203,366,382,136,142,145,181,185,170,143
"YAL047W-A",1,0,2,7,2,7,19,14,9,12,7,10,5,4,6,1,6,2,5,1,2,2,2,1,4,1,2
"YAL047C",271,370,204,348,431,321,374,592,422,510,295,268,330,331,335,271,280,269,233,486,161,204,190,222,268,210,178
"YAL046C",222,273,140,297,389,314,229,355,320,392,307,305,355,322,287,369,227,149,209,265,120,122,98,115,116,126,123
"YAL045C",0,3,2,0,0,1,1,6,1,3,2,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"YAL044W-A",448,550,349,558,708,631,528,655,647,820,665,752,759,814,617,753,511,581,545,1182,213,437,441,435,576,502,330
"YAL044C",1886,2262,1252,2218,1644,1514,2570,3457,2275,2985,3255,2467,4426,2415,2527,3427,2303,2701,1829,3813,1093,1127,920,1953,2780,1463,1071
"YAL043C",1163,1365,735,1544,1730,1525,983,1561,1340,1715,1251,1399,1266,1214,1503,1684,1176,869,1110,1305,373,697,661,534,765,640,423
"YAL042C-A",1,3,3,2,6,5,2,3,12,7,8,5,1,1,2,4,2,0,4,3,0,0,1,1,2,0,2
"YAL042W",3589,4407,2219,4533,5051,4250,3177,4660,3908,5532,4164,4189,4273,3570,4574,4713,3303,2986,2956,5299,1414,2431,2195,2112,2845,2507,1820
"YAL041W",1271,1664,803,1540,1860,1655,1384,2001,1608,2223,1308,1239,1426,1434,1598,1634,1377,1063,1167,1687,518,786,769,722,875,680,475
"YAL040C",1297,1583,1123,2006,2763,2206,2260,3719,3218,4225,1908,2583,1351,1807,2119,2568,1546,1238,1775,2425,504,1127,1084,851,1066,836,505
"YAL039C",853,941,603,1139,1557,1371,496,609,533,745,795,888,2117,1987,902,985,762,761,816,1395,247,697,661,827,962,834,586
"YAL038W",84555,104765,40484,83634,87435,75264,96108,145054,114982,161647,139316,138610,123155,113128,116520,135553,109224,63895,91158,99048,31261,45702,41326,33792,42145,28211,21679
"YAL037C-B",14,3,5,10,15,4,11,10,8,15,121,57,17,18,25,48,9,1,12,0,5,6,0,0,1,1,2
"YAL037C-A",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,1,0,1,0
"YAL037W",70,109,52,90,121,68,132,175,134,155,135,128,76,61,101,85,97,85,88,125,29,76,72,53,73,36,38
"YAL036C",1201,1509,796,1397,1716,1404,812,1127,837,1137,1187,1262,2124,2435,1633,1757,1215,654,1020,1239,1005,883,731,555,738,727,735
"YAL035W",5201,6926,3760,6811,8332,6692,4617,6352,5618,7381,5709,6152,8323,9740,7527,7689,5565,2919,4869,5188,4058,2866,2346,2244,2988,2603,2236
"YAL034C-B",2,1,1,1,3,3,3,2,5,13,1,4,1,3,1,2,0,2,1,3,0,1,0,1,1,1,2
"YAL034W-A",312,387,213,392,389,348,419,580,439,630,420,423,415,386,393,433,393,423,299,684,175,277,268,280,412,197,141
"YAL034C",240,336,208,427,802,692,651,884,774,1020,471,738,357,371,380,682,391,321,516,651,90,184,160,170,272,212,118
"YAL033W",510,657,339,678,677,545,350,582,422,610,471,444,633,577,589,556,418,384,373,867,220,475,429,369,468,260,168
"YAL032C",359,484,246,503,672,550,462,667,553,683,446,463,401,362,491,537,374,384,340,708,159,376,309,291,395,273,178
"YAL031W-A",1,0,0,2,3,4,1,0,3,1,1,0,0,0,0,2,0,0,0,1,0,1,0,0,1,1,1
"YAL031C",707,901,480,978,1249,999,955,1293,1142,1468,961,999,893,806,1017,1260,902,604,859,1163,254,323,307,407,499,302,238
"YAL030W",607,686,288,710,969,905,629,1093,835,1130,863,911,801,703,776,945,683,378,650,704,130,145,120,200,182,266,174
"YAL029C",1422,1666,810,1812,2458,2002,1289,1866,1709,2142,1375,1508,1837,1908,1860,1851,1509,758,1267,1357,515,570,519,607,686,625,642
"YAL028W",122,137,84,243,415,315,292,471,360,521,262,407,118,107,232,311,174,184,256,318,22,61,44,79,89,80,47
"YAL027W",382,492,308,490,702,598,395,598,539,653,433,476,577,481,528,512,403,405,344,804,108,300,265,290,342,320,253
"YAL026C-A",126,188,107,195,224,211,199,294,209,251,196,187,191,161,200,244,175,281,171,449,74,168,167,112,174,197,115
"YAL026C",1333,1737,753,1744,1976,1608,1299,1793,1646,2031,1342,1411,1441,1439,1757,1677,1471,741,1103,1258,514,454,425,510,527,528,532
"YAL025C",1084,1408,970,1210,1537,1262,1098,1500,1032,1293,1279,1323,2151,2683,1379,1673,1119,1095,992,2030,1472,1695,1333,893,1254,989,842
"YAL024C",425,585,242,554,743,582,454,668,665,776,511,539,555,490,545,567,481,225,374,391,170,166,162,162,206,193,134
"YAL023C",5609,6793,3167,8405,7866,6750,5257,7924,4750,6889,6195,6100,5659,4840,6422,7000,6025,4166,4434,5185,1701,3084,2849,2626,3416,1958,1412
