ID 	nb 	source 	last_update 	data 	taxonomy
Acaryochloris_marina_MBIC11017_uid58167 	1 	NCBI 	2015-02-18.003041 	data 	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Acaryochloris
Acaryochloris_marina_mbic11017_GCA_000018105.1 	2 	ensemblgenomes 	2015-02-18.003047 	data 	cellular organisms;Bacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Acaryochloris;Acaryochloris marina;Acaryochloris;Marina
Acetobacter_pasteurianus_386B_uid214433 	3 	NCBI 	2015-02-18.003053 	data 	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter
Acetobacter_pasteurianus_IFO_3283_01_42C_uid158377 	4 	NCBI 	2015-02-18.003100 	data 	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter
Acetobacter_pasteurianus_IFO_3283_01_uid59279 	5 	NCBI 	2015-02-18.003106 	data 	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter
Acetobacter_pasteurianus_IFO_3283_03_uid158373 	6 	NCBI 	2015-02-18.003113 	data 	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter
Acetobacter_pasteurianus_IFO_3283_07_uid158381 	7 	NCBI 	2015-02-18.003120 	data 	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter
Acetobacter_pasteurianus_IFO_3283_12_uid158379 	8 	NCBI 	2015-02-18.003126 	data 	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter
Acetobacter_pasteurianus_IFO_3283_22_uid158383 	9 	NCBI 	2015-02-18.003133 	data 	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter
Acetobacter_pasteurianus_IFO_3283_26_uid158531 	10 	NCBI 	2015-02-18.003139 	data 	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter
Acetobacter_pasteurianus_IFO_3283_32_uid158375 	11 	NCBI 	2015-02-18.003146 	data 	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter
Acetobacter_pasteurianus_ifo_3283_01_42c_GCA_000010945.1 	12 	ensemblgenomes 	2015-02-18.003152 	data 	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus;Acetobacter pasteurianus subsp. pasteurianus;Acetobacter;Pasteurianus
Acetobacter_pasteurianus_ifo_3283_01_GCA_000010825.1 	13 	ensemblgenomes 	2015-02-18.003159 	data 	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus;Acetobacter pasteurianus subsp. pasteurianus;Acetobacter;Pasteurianus
Acetobacter_pasteurianus_ifo_3283_32_GCA_000010925.1 	14 	ensemblgenomes 	2015-02-18.125852 	data 	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus;Acetobacter pasteurianus subsp. pasteurianus;Acetobacter;Pasteurianus
Acetobacter_pasteurianus_nbrc_101655_GCA_000241585.2 	15 	ensemblgenomes 	2015-02-18.003218 	data 	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus;Acetobacter;Pasteurianus
Acetobacter_pasteurianus_subsp_pasteurianus_lmg_1262_nbrc_106471_GCA_000241625.2 	16 	ensemblgenomes 	2015-02-18.003224 	data 	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus;Acetobacter pasteurianus subsp. pasteurianus;Acetobacter;Pasteurianus
Acetobacterium_woodii_DSM_1030_uid88073 	17 	NCBI 	2015-02-18.003230 	data 	Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium
Acetobacterium_woodii_dsm_1030_GCA_000247605.1 	18 	ensemblgenomes 	2015-02-21.182557 	data 	cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;Acetobacterium woodii;Acetobacterium;Woodii
Acetohalobium_arabaticum_DSM_5501_uid51423 	19 	NCBI 	2015-02-18.003236 	data 	Bacteria; Firmicutes; Clostridia; Halanaerobiales; Halobacteroidaceae; Acetohalobium
Acholeplasma_laidlawii_PG_8A_uid58901 	20 	NCBI 	2015-02-18.003243 	data 	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma
Acholeplasma_laidlawii_pg_8a_GCA_000018785.1 	21 	ensemblgenomes 	2015-02-19.215750 	data 	cellular organisms;Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;Acholeplasma laidlawii;Acholeplasma;Laidlawii
Achromobacter_arsenitoxydans_sy8_GCA_000236785.2 	22 	ensemblgenomes 	2015-02-18.052529 	data 	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter arsenitoxydans;Achromobacter;Arsenitoxydans
Achromobacter_piechaudii_hle_GCA_000286415.1 	23 	ensemblgenomes 	2015-02-18.003249 	data 	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter piechaudii;Achromobacter;Piechaudii
Achromobacter_xylosoxidans_A8_uid59899 	24 	NCBI 	2015-02-18.003255 	data 	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter
Achromobacter_xylosoxidans_NBRC_15126_uid232243 	25 	NCBI 	2015-02-18.003301 	data 	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter
Achromobacter_xylosoxidans_axx_a_GCA_000219745.1 	26 	ensemblgenomes 	2015-02-18.003308 	data 	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter xylosoxidans;Achromobacter;Xylosoxidans
Achromobacter_xylosoxidans_uid205255 	27 	NCBI 	2015-02-18.003314 	data 	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter
Acidaminococcus_fermentans_DSM_20731_uid43471 	28 	NCBI 	2015-02-18.003320 	data 	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Acidaminococcus
Acidaminococcus_intestini_RyC_MR95_uid74445 	29 	NCBI 	2015-02-18.003326 	data 	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Acidaminococcus
Acidimicrobidae_bacterium_YM16_304_uid193703 	30 	NCBI 	2015-02-18.003339 	data 	Bacteria; Actinobacteria; Acidimicrobidae; Acidimicrobiales; Acidimicrobineae; Acidimicrobiaceae; Ilumatobacter
Acidimicrobium_ferrooxidans_DSM_10331_uid59215 	31 	NCBI 	2015-02-18.003346 	data 	Bacteria; Actinobacteria; Acidimicrobidae; Acidimicrobiales; Acidimicrobineae; Acidimicrobiaceae; Acidimicrobium
Acidiphilium_cryptum_JF_5_uid58447 	32 	NCBI 	2015-02-18.003353 	data 	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidiphilium
Acidiphilium_cryptum_jf_5_GCA_000016725.1 	33 	ensemblgenomes 	2015-02-18.003406 	data 	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;Acidiphilium cryptum;Acidiphilium;Cryptum
Acidiphilium_multivorum_AIU301_uid63345 	34 	NCBI 	2015-02-18.003412 	data 	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidiphilium
Acidithiobacillus_caldus_SM_1_uid70791 	35 	NCBI 	2015-02-18.003418 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus
Acidithiobacillus_caldus_sm_1_GCA_000221025.1 	36 	ensemblgenomes 	2015-02-18.003431 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;Acidithiobacillus caldus;Acidithiobacillus;Caldus
Acidithiobacillus_ferrivorans_SS3_uid67387 	37 	NCBI 	2015-02-18.003438 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus
Acidithiobacillus_ferrooxidans_ATCC_23270_uid57649 	38 	NCBI 	2015-02-18.003445 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus
Acidithiobacillus_ferrooxidans_ATCC_53993_uid58613 	39 	NCBI 	2015-02-18.003451 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus
Acidithiobacillus_ferrooxidans_atcc_23270_GCA_000021485.1 	40 	ensemblgenomes 	2015-02-23.171311 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;Acidithiobacillus ferrooxidans;Acidithiobacillus;Ferrooxidans
Acidobacterium_MP5ACTX9_uid50551 	41 	NCBI 	2015-02-18.003457 	data 	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Granulicella
Acidobacterium_capsulatum_ATCC_51196_uid59127 	42 	NCBI 	2015-02-18.003504 	data 	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Acidobacterium
Acidothermus_cellulolyticus_11B_uid58501 	43 	NCBI 	2015-02-18.003510 	data 	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Frankineae; Acidothermaceae; Acidothermus
Acidovorax_JS42_uid58427 	44 	NCBI 	2015-02-18.003517 	data 	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax
Acidovorax_KKS102_uid176500 	45 	NCBI 	2015-02-18.003523 	data 	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax
Acidovorax_avenae_ATCC_19860_uid42497 	46 	NCBI 	2015-02-18.003530 	data 	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax
Acidovorax_citrulli_AAC00_1_uid58429 	47 	NCBI 	2015-02-18.003536 	data 	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax
Acidovorax_citrulli_aac00_1_GCA_000015325.1 	48 	ensemblgenomes 	2015-02-18.003543 	data 	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax citrulli;Acidovorax;Citrulli
Acidovorax_ebreus_TPSY_uid59233 	49 	NCBI 	2015-02-18.003550 	data 	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax
Acinetobacter_ADP1_uid61597 	50 	NCBI 	2015-02-18.003556 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter
Acinetobacter_DR1_uid50119 	51 	NCBI 	2015-02-18.003602 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter
Acinetobacter_baumannii_1656_2_uid158677 	52 	NCBI 	2015-02-18.003609 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_6013113_GCA_000163375.2 	53 	ensemblgenomes 	2015-02-20.084752 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_6013150_GCA_000163355.2 	54 	ensemblgenomes 	2015-02-20.170347 	data 	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii;Acinetobacter;Baumannii
Acinetobacter_baumannii_AB0057_uid59083 	55 	NCBI 	2015-02-18.003615 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_AB307_0294_uid59271 	56 	NCBI 	2015-02-18.003621 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_ACICU_uid58765 	57 	NCBI 	2015-02-18.003628 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_ATCC_17978_uid58731 	58 	NCBI 	2015-02-18.003634 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_AYE_uid28921 	59 	NCBI 	2015-02-18.003640 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_AYE_uid61637 	60 	NCBI 	2015-02-18.003646 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_BJAB07104_uid210971 	61 	NCBI 	2015-02-18.003653 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_BJAB0715_uid210972 	62 	NCBI 	2015-02-18.003659 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_BJAB0868_uid210973 	63 	NCBI 	2015-02-18.003705 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_D1279779_uid190222 	64 	NCBI 	2015-02-18.003711 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_MDR_TJ_uid162739 	65 	NCBI 	2015-02-18.003718 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_MDR_ZJ06_uid158685 	66 	NCBI 	2015-02-18.003724 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_SDF_uid61601 	67 	NCBI 	2015-02-18.003730 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_TCDC_AB0715_uid158679 	68 	NCBI 	2015-02-18.003736 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_TYTH_1_uid176498 	69 	NCBI 	2015-02-18.003742 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
Acinetobacter_baumannii_ZW85_1_uid231518 	70 	NCBI 	2015-02-18.003749 	data 	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
