"","N1","N2","O1","O2","P1","P2","Q1","Q2","R1","W1","W2","W3","W4"
"CAGL0E06138g",10,4,11,1,6,1,6,1,10,0,2,4,3
"CAGL0E03223g",1,1,0,0,1,0,1,0,1,0,0,0,0
"CAGL0E03498g",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0E01155g",0,1,3,2,0,3,1,0,1,1,1,0,0
"CAGL0E06556g",0,0,1,0,1,0,0,1,2,0,3,2,1
"CAGL0E02695g",3,2,4,3,4,1,3,4,2,3,2,0,0
"CAGL0E03850g",0,0,0,0,0,1,0,0,1,0,0,0,0
"CAGL0E06644g",31,18,29,21,28,25,17,10,35,21,34,39,53
"CAGL0E00297r",4,5,2,0,0,2,4,4,0,1,2,2,0
"CAGL0E00627g",7,15,10,13,7,4,12,0,9,5,8,13,18
"CAGL0E01551g",1,1,3,0,0,0,0,0,2,1,0,0,0
"CAGL0E05170g",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0E02255g",3,2,11,14,4,17,6,4,3,0,4,2,1
"CAGL0E00957g",7,6,23,15,12,14,35,15,24,7,8,1,1
"CAGL0E03091r",1,1,0,1,3,0,3,1,1,0,0,1,4
"CAGL0E02497g",8,6,11,7,5,12,14,4,10,5,5,17,12
"CAGL0E02717g",9,9,10,3,6,5,6,5,8,6,9,21,17
"CAGL0E04598g",2,1,0,2,1,3,3,0,3,1,0,0,1
"CAGL0E06512g",1,1,1,0,0,1,2,0,0,0,0,0,0
"CAGL0E02651g",14,8,22,17,24,21,14,12,23,15,12,1,2
"CAGL0E05192g",1,1,0,0,0,0,0,0,0,0,0,0,0
"CAGL0E06116g",0,2,4,0,2,2,6,0,1,2,0,2,1
"CAGL0E04158g",27,21,28,29,21,30,54,31,38,21,28,13,10
"CAGL0E01287g",2,3,3,0,1,4,1,4,0,2,1,0,1
"CAGL0E05236g",2,1,2,0,1,1,4,0,1,0,0,13,10
"CAGL0E02805g",0,0,1,0,3,0,1,0,0,0,1,0,0
"CAGL0E05060g",0,1,2,0,3,1,0,0,1,0,1,0,0
"CAGL0G09933g",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0G06600g",0,1,1,0,0,0,0,0,0,0,0,0,0
"CAGL0G09493g",1,1,1,0,3,0,0,0,0,0,0,0,0
"CAGL0G01276g",5,8,4,9,0,7,10,9,3,0,1,3,2
"CAGL0G02365g",5,5,10,7,7,7,5,4,8,4,9,5,3
"CAGL0G04389g",1,1,3,0,1,0,0,0,0,0,0,0,0
"CAGL0G00176g",0,0,2,0,1,0,0,0,2,0,1,2,0
"CAGL0G04961g",1,0,1,0,0,0,0,0,0,0,1,0,1
"CAGL0G01188g",0,0,0,0,1,0,1,0,0,0,0,0,0
"CAGL0G05269g",0,0,0,0,0,0,0,0,0,0,1,1,0
"CAGL0G08954g",4,3,3,2,2,4,3,2,3,1,2,3,6
"CAGL0G00968g",3,3,2,0,0,2,3,3,2,4,1,0,3
"CAGL0G00286g",3,2,1,0,5,1,2,1,0,0,0,0,1
"CAGL0G09713g",8,0,6,5,4,2,2,3,3,0,0,0,2
"CAGL0G01991g",21,16,26,27,26,31,12,14,16,8,9,2,2
"CAGL0G06864g",1,0,1,0,0,1,2,0,0,0,0,0,1
"CAGL0G07249g",4,1,1,2,2,3,2,1,1,1,2,0,1
"CAGL0G04675g",2,1,1,1,2,3,5,2,0,0,0,2,0
"CAGL0G05005g",3,1,1,5,1,1,1,1,0,2,2,1,1
"CAGL0G08085g",3,3,2,0,2,4,1,0,0,0,0,0,2
"CAGL0G05896g",1,0,3,2,1,0,5,0,2,3,1,1,0
"CAGL0G10219g",1,0,0,0,0,0,1,0,1,3,3,0,2
"CAGL0G05874g",0,2,1,0,1,0,0,0,2,2,0,0,0
"CAGL0G01584g",3,1,1,1,0,0,2,0,0,0,1,0,0
"CAGL0G03003g",1,2,3,0,2,0,1,0,1,0,0,13,15
"CAGL0G03135g",10,12,19,16,13,11,19,6,16,10,13,3,8
"CAGL0G08778g",0,1,3,0,1,0,1,0,1,0,0,0,0
"CAGL0G08976r",0,0,0,0,0,0,0,0,0,0,0,1,0
"CAGL0G06402g",3,3,0,0,0,1,0,0,0,1,0,0,0
"CAGL0G06006g",4,4,1,6,0,4,4,5,4,0,0,0,0
"CAGL0G08690g",6,1,4,1,4,2,4,7,0,3,2,7,2
"CAGL0G07381g",1,0,0,1,0,0,1,0,0,0,0,0,0
"CAGL0G00352g",0,0,3,0,3,0,2,2,2,1,0,0,1
"CAGL0G00484g",2,3,2,1,1,1,2,0,1,2,0,0,0
"CAGL0G06424g",1,1,1,1,1,2,1,0,1,0,0,0,0
"CAGL0G08173g",13,6,38,10,20,17,6,6,6,5,6,0,1
"CAGL0G07645g",9,3,2,0,8,3,6,0,0,3,2,16,10
"CAGL0G02827g",0,1,1,2,0,0,0,1,1,0,0,3,0
"CAGL0G10131g",4,8,17,16,4,10,11,5,10,6,4,7,4
"CAGL0G05984g",2,2,2,0,1,0,1,3,2,4,1,5,1
"CAGL0G03641g",3,3,2,2,1,6,4,1,1,0,2,2,5
"CAGL0G06710g",0,0,0,0,0,0,0,1,0,0,0,0,0
"CAGL0G04719g",4,3,2,1,3,4,1,1,0,0,1,19,22
"CAGL0F01309r",0,1,0,0,0,0,0,0,0,0,0,1,0
"CAGL0F06721g",8,5,4,3,1,4,2,2,0,2,3,6,4
"CAGL0F06787g",1,0,2,0,1,1,2,1,0,2,0,0,0
"CAGL0F01265g",1,1,0,0,0,0,0,0,1,0,0,0,1
