"","A1","A2","B1","B2","C1","C2","D1","D2","E1","E2","F1","G1","H1","I1","J1","K1","L1","L2","M1","M2","V1","X1","X2","X3","X4","Y1","Y2"
"YAL069W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAL068W-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAL068C",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAL067W-A",0,0,0,0,2,1,1,2,0,1,4,3,0,0,1,2,1,0,1,1,0,0,0,0,0,1,1
"YAL067C",11,10,13,23,84,78,30,46,51,62,34,33,30,44,14,28,6,10,15,36,2,8,7,7,16,9,14
"YAL066W",0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAL065C",7,10,2,10,20,12,9,10,14,15,13,12,15,8,7,13,6,1,12,0,0,0,0,2,0,0,0
"YAL064W-B",5,10,6,7,19,9,13,12,16,15,7,9,6,7,2,12,4,8,10,17,4,3,4,5,12,9,7
"YAL064C-A",22,26,17,35,56,60,26,25,32,40,19,38,31,29,29,30,21,4,25,22,3,5,3,10,9,2,9
"YAL064W",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"YAL063C-A",0,1,0,0,4,2,0,4,1,5,0,1,0,1,0,1,0,0,1,3,0,1,2,2,0,2,0
"YAL063C",150,182,84,155,231,231,170,241,249,280,240,242,248,248,149,269,163,105,186,213,59,76,69,66,98,85,74
"YAL062W",112,137,98,208,232,231,173,286,222,305,188,228,136,124,174,236,125,81,126,155,35,100,95,54,89,53,39
"YAL061W",225,274,123,228,198,131,155,279,232,287,238,206,233,157,261,261,177,161,151,222,33,133,118,127,198,107,46
"YAL060W",7,7,6,6,4,6,5,2,1,5,38,14,8,9,9,21,8,0,3,1,3,5,3,1,4,0,1
"YAL059C-A",293,363,205,281,531,337,285,393,300,385,348,360,542,877,342,501,277,189,256,420,425,248,242,146,221,226,182
